Case Tag,Secondary Tags (for mapping),SA Case Group,SA Case Type,SA Case Subtype,Apply mapping if,AND…
. Continental Italian Restaurant,,,,,,
@CLG IN SUIT,,,,,,
@PRE-SETTLEMENT LOANS (2) re STG CLAIM,, ,,,,
1412 64th Ave.,,,,,,
2nd loan via Legal Bay - Tribeca,,,,,,
3rd Party Injury claim,,,,,,
3rd Party Injury claim - lay person,,,,,,
404,,,,,,
45985.575,,,,,,
4805 Warnock Street,,,,,,
7th Day Adventist,,3. Sexual Abuse - New Jersey,Non-Catholic Religions (Adult),,Case State = NJ,"No ""minor"" case tag present"
7th Day Adventist,,4. Sexual Abuse - Pennsylvania,Non-Catholic Religions (Adult),,Case State = PA,"No ""minor"" case tag present"
7th Day Adventist ,"MINOR, Minor- Misc., NJ 3rd Party minor, NJ GENERAL (MINOR), NJ Minor Abuse Claim, NJ Minor claim, NJ Minors",3. Sexual Abuse - New Jersey,Non-Catholic Religions (Minor),,Case State = NJ,case also has one or more of the tags in column B
7th Day Adventist,"MINOR, Minor- Misc.",4. Sexual Abuse - Pennsylvania,Non-Catholic Religions (Minor),,Case State = PA,case also has one or more of the tags in column B
Abraxas,,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Abraxas,,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Abraxas (handled by CLG),,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Abraxas (handled by CLG),,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Abraxas Academy,,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Abraxas Academy,,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Abraxas Youth and Family Services,,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Abraxas Youth and Family Services,,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Abraxas Youth Center,,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Abraxas Youth Center,,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Abraxus,,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Abraxus,,4. Sexual Abuse - Pennsylvania ,Juvenile Detention Center,,Case State = PA,Plaintiff DOB is on or before 11/26/1989
Absued at NJ Shore,,,,,,
Abused 06/2019 - SOL 7 years,,,,,,
Abused at NJ Shore,,,,,,
Abused by a brother,,,,,,
ABUSED BY FR. GALDON,,,,,,
Abused by gym teacher,,,,,,
Abused by religious order priest,,,,,,
Abused in NY,,,,,,
ACCESS Chester Community Center,,,,,,
Acclaim Rehabilitation and Care Center,,,,,,
Act one in Wilkesbarre PA,,,,,,
Adam Horowitz Referral,,,,,,
Adelphi Quality Home,,,,,,
Adelphi Village,,,,,,
Adelphoi Village,,,,,,
Adrian Moody Referral,,,,,,
Adult Abuse Case,,,,,,
Adult Case,,,,,,
Adult Sexual Abuse,,,,,,
Affidavit Only,,,,,,
After rescoring - Level 1,,,,,,
After TA Client,,,,,,
AH Referral,,,,,,
Allegany Dept of Human Services,,,,,,
Allegheny Detention Center,,,,,,
ALLENTOWN DIOCESE,,4. Sexual Abuse - Pennsylvania,Allentown Diocese Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Also abused down in the shore in NJ,,,,,,
Also has claim against boy scouts,,,,,,
Altoona,,4. Sexual Abuse - Pennsylvania,Altoona-Johnstown Diocese Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
Altoona Johnstown Diocese,,4. Sexual Abuse - Pennsylvania,Altoona-Johnstown Diocese Minor (DOB after 11/26/1989),,Case State = PA,Plaintiff DOB is after 11/26/1989
